account position pnl
noise-10 186 1956.87
noise-10 194 1956.87
noise-10 279 1956.87
noise-2 -140 -353.19
noise-4 -569 -1934.80
noise-9 449 1810.30
noise-9 458 1994.39
noise-9 467 2182.17
noise-8 12 -158.32
noise-7 347 1381.51
mm -201 662.77
mm -210 580.36
mm -219 494.26
mm -211 240.22
noise-3 -309 -3401.11
noise-1 345 2023.55
noise-1 332 1802.75
noise-5 -263 -539.22
noise-5 -251 -539.22
noise-5 -204 -539.22
noise-5 -200 -539.22
noise-10 208 2018.25
noise-7 431 1381.51
noise-2 -136 716.41
noise-2 -119 419.93
noise-2 -102 368.76
noise-2 -85 324.90
noise-4 -573 -939.05
noise-9 372 2723.89
noise-8 -28 -158.92
noise-7 417 1084.12
mm -116 240.22
mm -133 190.34
mm -150 133.15
mm -167 68.65
noise-3 -313 -3385.66
noise-10 148 1874.73
noise-1 360 1786.15
noise-1 400 1786.15
noise-1 460 1786.15
noise-1 464 1786.15
noise-1 478 1786.15
noise-5 -228 -529.22
noise-2 -104 568.85
noise-4 -577 -5803.82
noise-9 334 2616.01
noise-8 -16 43.52
noise-8 -4 36.80
noise-8 8 35.12
noise-7 324 1459.42
mm -179 516.21
mm -191 441.03
mm -203 360.81
mm -211 624.71
mm -219 536.09
mm -227 444.11
mm -233 634.79
mm -239 536.93
mm -245 436.55
noise-3 -307 -978.69
noise-3 -301 -1107.63
noise-3 -295 -1234.05
noise-10 100 832.81
noise-6 -14 439.23
noise-6 -6 430.55
noise-6 13 428.93
noise-6 21 430.88
noise-6 69 435.71
noise-6 77 448.82
noise-6 115 504.26
noise-1 372 -2186.03
noise-5 -224 -734.42
noise-5 -131 -734.42
noise-2 -120 23.89
noise-4 -581 -1989.85
noise-9 264 2756.29
noise-8 -32 40.56
noise-7 338 1235.86
mm -175 157.25
mm -135 157.25
mm -131 157.25
mm -135 -364.13
mm -139 -424.88
mm -143 -487.43
mm -157 -636.15
noise-3 -279 -2611.70
noise-3 -243 -2611.70
noise-10 64 1318.81
noise-6 68 573.26
noise-1 419 -1151.87
noise-1 423 440.33
noise-1 427 630.68
noise-1 431 822.83
noise-2 -132 733.09
noise-4 -585 -519.92
noise-9 208 2088.37
noise-8 -64 94.64
mm -117 293.29
mm -134 242.98
mm -151 185.36
mm -168 120.43
mm -140 762.19
mm -84 762.19
mm -80 762.19
noise-3 -231 -1175.57
noise-3 -199 -1334.96
noise-3 -149 -1456.35
noise-10 36 930.97
noise-6 28 561.02
noise-1 448 -1095.12
noise-1 465 -902.48
noise-1 482 -702.53
noise-1 527 1249.57
noise-1 555 1908.32
noise-5 -176 -568.05
noise-2 -111 -311.03
noise-2 -90 -360.98
noise-2 -69 -401.48
noise-2 -25 -448.40
noise-2 39 -448.40
noise-9 164 4093.49
noise-7 310 1462.32
noise-7 260 -915.38
mm -44 189.39
mm 79 189.39
mm 58 260.49
mm 37 286.59
mm 16 303.24
noise-3 -185 -2307.14
noise-1 432 820.52
noise-2 71 -448.40
noise-6 -4 760.10
noise-2 79 -448.40
noise-5 -184 -879.57
noise-4 -589 -2737.07
noise-5 -212 658.67
mm 4 321.48
noise-7 196 1214.02
mm -14 321.48
mm -18 315.04
retail-1 48 43.92
retail-1 66 532.08
noise-10 12 928.45
retail-1 70 562.44
noise-2 111 -608.77
noise-2 116 -558.82
noise-2 121 -506.62
noise-2 173 -368.68
noise-2 209 -368.68
noise-2 233 -368.68
noise-2 248 -368.68
noise-9 128 4095.13
noise-8 -88 -469.20
noise-7 144 1215.98
mm 10 376.24
mm 30 376.24
mm -2 389.74
mm -7 388.84
mm -12 385.69
mm -3 416.89
mm 25 416.89
mm -6 439.39
mm -37 436.69
mm -68 420.04
noise-3 -213 -2307.14
noise-10 -8 1015.21
noise-6 -19 760.06
noise-6 -28 831.12
noise-1 463 669.32
noise-1 494 877.67
noise-1 525 1099.97
noise-5 -240 -322.89
mm -90 359.52
mm -112 318.12
mm -134 266.60
noise-10 -24 1007.37
noise-1 541 1325.72
noise-3 -237 -2933.36
noise-6 -48 713.80
noise-5 -260 -1395.69
noise-9 150 3960.73
noise-9 172 4029.73
noise-9 194 4108.85
noise-2 182 -257.08
noise-2 160 -1090.64
noise-7 166 621.26
noise-7 186 1428.02
noise-9 218 4221.37
noise-9 238 4221.37
noise-9 258 4221.37
noise-9 324 4221.37
noise-8 -108 -508.80
noise-4 -521 -6206.28
noise-4 -501 -6206.28
noise-9 256 4085.29
mm -149 1101.42
noise-10 -13 977.37
noise-10 47 976.98
noise-6 -33 1040.68
noise-6 -18 1026.49
noise-6 -3 1018.75
noise-1 420 2158.86
noise-5 -244 -901.69
mm -164 1037.35
mm -179 966.83
mm -190 28.87
noise-4 -380 -6206.28
noise-4 -372 -6206.28
noise-3 -257 -2833.82
noise-2 152 -425.04
noise-2 92 -464.56
noise-8 -124 -333.84
mm -200 378.47
mm -210 288.47
mm -220 193.97
noise-2 36 -484.80
noise-8 -114 -218.52
noise-8 -104 -269.82
noise-8 -94 -316.62
noise-1 324 1957.26
noise-4 -398 -6027.72
noise-4 -417 -5191.92
noise-9 204 3424.81
noise-5 -264 -1365.29
mm -227 -72.23
mm -234 -176.65
noise-10 20 1022.10
noise-8 -38 -387.12
noise-6 -28 1000.06
noise-7 205 817.94
noise-7 257 817.94
noise-3 -250 -2828.68
noise-3 -243 -2943.68
noise-3 -223 -3006.86
noise-3 -196 -3006.86
noise-8 58 -387.12
noise-8 84 -387.12
noise-3 -171 -3006.86
noise-8 32 -767.64
mm -182 1098.65
noise-9 209 3108.61
mm -166 1098.65
mm -171 952.57
noise-5 -280 142.15
noise-9 214 3200.57
noise-9 219 3294.73
noise-7 196 1660.90
mm -176 877.33
mm -181 799.89
noise-3 -205 -3006.86
noise-6 14 1024.70
noise-1 290 2339.58
noise-1 248 2084.38
noise-6 34 1024.70
noise-10 0 1004.50
noise-2 -8 -474.00
noise-6 78 1024.70
noise-9 255 4159.78
noise-9 316 4159.78
noise-9 350 4159.78
noise-9 384 4159.78
noise-4 -453 -6559.68
mm -169 1406.24
noise-5 -292 587.35
mm -153 1406.24
noise-10 -16 1004.50
mm -109 619.82
noise-8 -12 -654.04
noise-7 144 1237.54
mm -57 619.82
noise-4 -443 -5997.96
noise-4 -433 -6201.74
noise-4 -423 -6400.92
mm -67 567.38
mm -77 536.56
mm -87 501.14
noise-2 -44 -486.24
noise-3 -229 -3140.11
noise-1 188 2463.82
noise-6 41 1144.04
noise-4 -387 -6811.23
noise-4 -363 -6811.23
noise-4 -303 -6811.23
noise-4 -266 -6811.23
noise-4 -246 -6308.49
noise-4 -226 -6421.65
noise-4 -206 -6525.61
mm -107 581.18
mm -127 531.96
mm -147 473.54
noise-4 -194 -6682.17
noise-5 -304 -1672.73
noise-6 8 1135.43
noise-1 143 2424.34
noise-1 140 2387.16
noise-3 -226 -3032.48
noise-4 -161 -6682.17
noise-4 -116 -6682.17
noise-9 304 4228.90
noise-3 -146 -3032.48
noise-7 104 1574.50
noise-3 -106 -3032.48
noise-10 -28 884.82
noise-2 -72 -465.56
noise-8 -48 -682.12
noise-3 -94 -3032.48
noise-3 -66 -3032.48
noise-3 -30 -3032.48
mm -139 995.39
noise-5 -312 -362.49
mm -99 1151.07
noise-1 100 1663.36
mm -114 995.64
noise-8 -33 -509.32
mm -115 944.34
noise-8 -32 -524.17
mm -116 892.59
noise-8 -31 -538.57
noise-10 -40 924.58
noise-7 72 1489.22
noise-9 336 3979.62
noise-9 364 3979.62
noise-6 -20 1126.79
noise-9 423 3979.62
noise-3 -89 -3007.88
noise-2 -96 -316.52
noise-4 -99 -6154.37
noise-4 -82 -6197.93
noise-4 -65 -6234.01
noise-4 -41 -6321.11
noise-8 -19 -578.25
mm -133 1077.03
mm -150 1018.51
mm -167 952.51
noise-4 4 -6419.10
noise-8 -52 -507.00
mm -134 1246.43
noise-3 -134 -3109.34
noise-2 -112 -8.36
mm -118 1261.17
noise-7 48 1257.38
noise-6 -40 1207.19
noise-10 -20 1061.38
noise-10 4 1045.38
noise-1 68 1898.36
noise-9 336 3543.93
mm -120 815.13
mm -122 759.93
noise-5 -280 -746.25
noise-5 -193 -1017.85
noise-5 -191 -1085.40
noise-5 -189 -1173.26
mm -98 928.29
noise-1 44 1925.56
noise-2 -128 -328.68
mm -82 928.29
mm -66 928.29
noise-10 -12 1051.86
mm -82 792.99
mm -98 755.27
mm -114 710.19
noise-3 -118 -3016.88
noise-3 -102 -3071.16
noise-3 -86 -3118.08
noise-3 -55 -3215.26
noise-5 -220 -1687.34
noise-8 -80 -863.20
noise-3 -27 -3215.26
noise-7 28 1295.78
noise-9 356 3076.89
noise-9 477 3404.41
noise-4 -117 -6429.66
noise-9 492 3428.26
noise-6 -55 1104.39
mm -94 1185.57
noise-1 24 1872.76
noise-9 392 2764.06
mm 6 1185.57
mm 22 1180.35
noise-10 -28 1076.70
mm -7 1209.39
mm -19 1206.24
noise-5 -191 -620.34
mm -31 1197.69
noise-5 -179 -706.29
noise-5 -167 -786.84
noise-8 -100 -808.80
noise-5 -147 -1332.93
noise-7 12 1414.50
noise-5 -131 -1332.93
noise-2 -140 -766.44
noise-5 -119 -1332.93
noise-4 -211 -6818.10
noise-4 -213 -6815.99
noise-6 -53 925.09
noise-5 -25 -1332.93
noise-2 -148 -598.44
noise-3 -19 -3164.50
noise-5 -88 -1302.93
noise-3 44 -3164.50
noise-7 0 1400.10
noise-3 56 -3164.50
noise-3 68 -3164.50
noise-10 -40 956.58
noise-4 -280 -6562.52
noise-4 -289 -6428.12
mm -22 1148.40
noise-3 135 -3164.50
mm -6 1148.40
noise-8 -116 -640.80
noise-9 312 3916.54
mm 74 1148.40
noise-9 248 3916.54
mm 138 1148.40
mm 150 1007.64
noise-7 -12 1400.10
mm 210 1007.64
noise-4 -349 -6133.34
noise-2 -156 -376.44
mm 218 1007.64
mm 230 1007.64
noise-8 -128 -522.48
mm 188 1348.04
mm 146 1434.52
mm 104 1501.68
noise-3 177 -3167.20
noise-3 219 -3085.78
noise-3 261 -2985.04
noise-6 -1 863.08
noise-5 -140 -1510.61
noise-1 8 1954.84
mm 65 1556.80
noise-10 -24 956.58
noise-10 15 922.26
noise-8 -140 -923.12
noise-10 27 925.26
noise-9 287 4506.78
mm 26 1587.35
noise-6 38 863.07
mm -13 1599.57
noise-7 -8 1353.06
noise-2 -160 -987.96
noise-4 -397 -7501.42
noise-7 40 1353.06
noise-7 80 1353.06
noise-5 -180 -1519.01
noise-7 192 1353.06
noise-3 149 -2588.32
noise-3 143 -2706.03
noise-10 33 925.26
noise-9 314 3350.17
noise-9 341 3491.47
noise-9 368 3644.92
mm -40 1658.07
mm -67 1640.07
mm -94 1609.92
noise-1 16 1973.24
noise-8 -148 -1016.92
noise-2 -164 -968.76
noise-1 20 1973.24
noise-1 52 1973.24
noise-5 -212 -1497.41
noise-4 -301 -7302.92
noise-3 47 -2664.56
noise-7 226 905.70
noise-6 4 776.43
noise-3 -29 -2806.97
noise-10 109 834.84
noise-7 168 634.50
noise-10 167 834.84
noise-6 -24 771.63
noise-10 195 834.84
mm -113 1555.40
noise-9 387 3858.36
mm -132 1503.42
noise-9 406 4036.38
noise-9 425 4223.14
mm -151 1442.70
noise-4 -297 -7637.03
noise-2 -168 -1088.48
noise-4 -277 -7637.03
noise-1 32 2011.20
noise-8 -156 -919.24
noise-5 -204 -1357.49
noise-2 -172 -263.60
mm -147 1767.35
mm -87 1767.35
noise-3 -89 -2784.64
noise-1 16 1819.52
mm -71 1861.31
mm -67 1861.31
noise-8 -160 -201.64
mm -39 1861.31
noise-5 -232 -419.09
noise-4 -257 -6404.38
mm -59 1801.25
noise-4 -237 -6522.60
mm -79 1774.11
noise-4 -217 -6631.62
mm -99 1737.77
mm -118 1510.07
noise-6 -5 701.79
noise-7 253 994.02
noise-9 340 4546.14
noise-2 -117 -444.20
noise-2 -100 -751.91
mm -135 1510.07
noise-10 140 889.44
noise-1 40 1924.96
noise-5 -256 -1947.97
noise-7 192 1651.82
noise-1 101 1924.96
noise-1 124 1924.96
noise-6 -28 692.64
noise-8 -164 -1256.04
noise-1 128 1924.96
noise-1 204 1924.96
noise-4 -293 -7527.83
noise-1 213 1924.96
noise-2 -61 -915.91
noise-3 -98 -3275.03
noise-3 -137 -3256.41
noise-2 7 -915.91
noise-9 272 5365.54
mm -115 1497.92
noise-5 -276 -1502.53
noise-7 144 1317.74
mm -67 1497.92
mm -89 1465.76
noise-9 294 5074.50
noise-9 301 5215.62
mm -96 1423.04
mm -103 1376.96
noise-9 308 5360.10
noise-2 -32 -911.22
noise-9 347 5600.34
noise-6 -48 679.20
noise-9 367 5600.34
noise-9 371 5600.34
noise-8 -168 -1334.76
noise-1 160 2027.20
noise-3 -145 -3348.20
noise-4 -261 -5643.84
noise-3 -177 -2346.25
noise-9 424 5600.34
noise-9 432 5600.34
noise-4 -217 -7267.26
noise-10 96 1484.44
mm -121 2140.19
mm -139 2086.95
mm -157 2025.79
noise-7 162 458.06
noise-7 180 529.34
noise-7 198 608.54
noise-9 344 4991.22
noise-10 184 1415.32
noise-4 -293 -7111.02
noise-10 260 1415.32
noise-6 -61 746.88
noise-7 201 1735.16
noise-6 -64 759.69
noise-10 273 1415.32
noise-7 245 1735.16
noise-1 116 1768.00
noise-7 249 1735.16
noise-8 -172 -1062.60
noise-2 0 -595.70
noise-2 16 -595.70
noise-2 29 -553.30
noise-2 42 -540.25
noise-2 55 -521.35
mm -170 2010.09
mm -183 1933.59
mm -196 1851.24
noise-3 -209 -1824.10
noise-5 -292 606.11
noise-2 91 -270.00
noise-2 153 -270.00
noise-4 -353 -4790.46
noise-9 282 4877.70
noise-7 258 1294.43
noise-7 267 1415.69
noise-7 276 1541.18
mm -184 2529.40
mm -193 1355.48
mm -202 1264.77
mm -211 1169.83
noise-3 -233 -2014.29
noise-10 333 -746.84
noise-10 357 -620.30
noise-6 -76 1281.29
noise-1 80 1754.08
noise-7 280 2137.34
noise-8 -176 -1291.36
noise-7 292 2137.34
noise-5 -304 -2188.33
noise-9 290 2960.10
noise-9 298 3087.70
mm -219 2454.82
mm -227 2358.46
mm -235 2258.58
noise-9 306 3218.82
noise-8 -171 -1381.12
mm -240 406.78
noise-4 -401 -8172.20
noise-8 -123 -1386.25
noise-9 334 5480.16
noise-1 52 1871.68
noise-9 423 5480.16
noise-10 268 2478.46
noise-6 -73 602.61
noise-9 440 5480.16
noise-3 -250 -4036.73
noise-3 -253 -3894.23
noise-7 300 1696.42
noise-5 -312 -1729.29
noise-2 84 -279.18
noise-7 369 1696.42
mm -245 2209.18
mm -250 2098.93
mm -255 1986.43
noise-5 -307 -16.41
noise-5 -302 -154.56
noise-5 -297 -290.46
noise-9 352 4397.76
noise-5 -209 -1377.48
noise-7 284 2386.45
noise-3 -168 -4124.46
noise-10 196 2569.58
noise-3 -96 -4124.46
noise-6 -84 536.18
noise-3 -85 -4124.46
noise-1 74 1830.60
noise-2 54 -122.10
noise-2 32 -183.12
noise-3 -55 -4124.46
noise-1 114 1830.60
noise-4 -441 -7646.89
noise-1 127 1830.60
noise-8 -136 -1225.12
mm -258 933.28
noise-4 -438 -7117.69
noise-4 -435 -7323.55
noise-4 -432 -7528.00
mm -261 812.02
mm -264 689.35
noise-4 -424 -8296.96
noise-8 -144 -1431.84
noise-7 216 2497.21
noise-4 -356 -8296.96
noise-2 -12 -134.48
noise-4 -312 -8296.96
noise-9 408 5024.32
noise-10 140 2369.66
noise-9 435 5024.32
noise-5 -236 -1749.50
noise-1 92 1167.66
noise-6 -92 962.90
noise-3 -20 -3775.21
noise-3 -12 -3800.61
noise-9 348 3584.47
noise-3 75 -3809.61
mm -266 1341.43
mm -268 1216.41
mm -270 1090.45
noise-8 -142 -819.84
noise-8 -140 -886.58
noise-8 -138 -952.38
noise-2 -48 -100.40
noise-8 -102 -1017.24
noise-8 -78 -1017.24
noise-5 -260 -1412.02
noise-7 160 1883.77
noise-8 -22 -1017.24
noise-10 96 2169.46
noise-1 64 1526.46
noise-8 22 -1017.24
noise-8 50 -1017.24
noise-8 58 -1017.24
noise-6 -100 720.94
noise-4 -315 -7410.88
noise-8 61 -1017.24
mm -221 1930.15
noise-2 -76 71.44
noise-8 12 -1235.62
mm -205 1930.15
mm -177 1930.15
mm -133 1930.15
noise-5 -276 -481.22
noise-7 116 1310.97
mm -53 1524.50
noise-3 -5 -3708.36
mm -61 1473.62
noise-4 -307 -7546.33
noise-4 -299 -7693.69
mm -69 1444.34
mm -77 1411.22
noise-4 -291 -7837.21
noise-1 100 1742.78
noise-10 60 2493.94
noise-1 172 1742.78
noise-9 276 5414.95
noise-6 -104 382.94
noise-1 176 1742.78
noise-2 -96 -70.68
noise-9 220 4010.11
noise-8 -28 -1213.18
noise-7 80 1664.77
mm -13 1559.06
mm 23 1559.06
mm 27 1559.06
mm 67 1527.20
mm 123 1527.20
mm 143 1527.20
mm 171 1527.20
mm 140 1809.35
mm 109 1875.15
mm 78 1926.38
noise-3 -69 -3708.36
noise-10 32 2188.54
noise-6 -108 789.58
noise-5 -245 -1452.74
noise-5 -214 -1567.89
noise-5 -183 -1668.47
noise-4 -353 -8442.49
noise-1 238 1758.62
noise-8 8 -1239.50
noise-8 44 -1235.74
mm 42 1797.68
mm 6 1817.42
mm -30 1820.24
noise-8 80 -1215.06
noise-2 -112 -393.24
noise-8 96 -1096.66
noise-8 120 -1096.66
noise-10 8 2296.06
noise-4 -383 -7800.03
noise-4 -401 -7780.88
noise-8 150 -1096.66
noise-5 -165 -1800.23
mm -56 1761.44
mm -82 1734.56
noise-3 -43 -3891.90
noise-3 -17 -3912.54
noise-6 -112 413.74
noise-3 -13 -3918.32
noise-9 176 5035.31
noise-3 31 -3918.32
noise-1 180 1634.86
noise-3 89 -3918.32
noise-7 74 1657.57
mm -76 1999.42
mm -70 2035.14
mm -64 2068.04
noise-7 68 1622.79
noise-7 62 1590.83
noise-6 -90 708.30
mm -86 1947.72
mm -108 1907.30
mm -130 1856.54
noise-3 124 -3838.22
noise-6 -68 666.00
noise-6 -46 634.04
noise-5 -200 -2171.48
noise-8 84 -766.66
noise-3 190 -3838.22
noise-3 210 -3838.22
noise-10 -12 2313.66
noise-2 -79 -508.60
noise-4 -408 -8683.13
noise-4 -441 -8205.77
noise-3 217 -3838.22
noise-2 -31 -508.60
noise-1 132 1586.26
noise-7 40 1817.13
noise-6 -24 595.86
noise-9 140 4883.95
noise-6 12 595.86
mm -78 1866.94
noise-8 32 -990.94
noise-4 -425 -7967.63
noise-4 -409 -8171.63
noise-4 -393 -8367.95
mm -94 1792.06
mm -110 1746.94
mm -126 1694.14
noise-4 -377 -8548.73
noise-10 -28 2317.14
noise-4 -349 -8548.73
noise-9 112 5089.75
noise-4 -321 -8548.73
noise-5 -228 -2113.48
noise-4 -301 -8548.73
noise-7 20 1875.93
noise-4 -273 -8548.73
noise-6 -16 613.50
noise-4 -264 -8548.73
noise-2 70 -534.95
noise-3 208 -3901.15
noise-3 107 -3907.39
noise-2 106 -534.95
noise-1 96 1698.46
mm -38 2325.40
noise-3 19 -4489.47
noise-8 48 -1059.74
mm -54 2289.68
mm -70 2264.30
noise-8 64 -1037.18
noise-8 80 -1007.10
mm -86 2231.40
noise-1 64 1865.50
noise-8 112 -583.10
noise-8 124 -583.10
noise-10 -40 2269.26
noise-4 -329 -9000.17
noise-8 189 -583.10
noise-6 -20 586.14
noise-6 -40 633.94
noise-8 193 -583.10
noise-5 -208 -1958.44
noise-2 48 -817.97
noise-7 78 1821.93
noise-2 68 -737.33
mm -106 2010.38
noise-2 88 -704.01
noise-2 108 -660.89
mm -126 1958.44
mm -146 1896.70
noise-3 47 -4357.42
noise-5 -236 -2407.72
noise-2 132 -510.77
noise-2 158 -510.77
noise-2 174 -510.77
noise-4 -381 -8924.50
noise-9 88 5240.95
noise-7 52 2137.83
noise-3 55 -4357.42
noise-3 79 -4357.42
noise-3 131 -4357.42
noise-10 -48 2278.46
noise-6 -56 552.74
noise-1 40 1850.78
noise-2 104 -1024.07
noise-8 209 -714.34
noise-8 301 -714.34
noise-8 321 -714.34
noise-8 323 -714.34
mm -124 2124.46
mm -54 2124.46
noise-3 39 -4416.37
noise-6 -72 570.66
noise-1 20 1832.78
noise-5 -238 -2301.52
noise-5 -260 -1675.58
noise-4 -425 -7072.84
noise-9 96 4811.51
noise-9 140 4825.91
noise-10 -56 2518.94
noise-7 32 2003.15
noise-9 160 5125.51
noise-7 16 1826.51
mm -38 2403.10
noise-2 48 -1560.71
mm 18 2403.10
mm 30 2458.00
noise-6 -84 911.94
mm 0 2486.80
mm -30 2486.80
mm -60 2472.40
noise-9 190 4883.91
noise-9 220 4975.11
noise-9 250 5080.71
noise-4 -409 -8224.59
noise-9 337 5920.71
noise-8 236 -539.92
noise-8 220 -1068.56
noise-5 -276 -2039.58
noise-3 55 -4464.34
noise-1 4 1808.18
noise-3 71 -4464.34
noise-3 75 -4464.34
noise-10 -60 2332.46
noise-6 -61 831.30
noise-6 -38 802.02
noise-6 -15 783.78
mm -83 2530.00
mm -106 2490.16
mm -129 2439.28
noise-2 0 -1250.15
noise-6 33 761.28
noise-1 -8 1807.82
noise-6 45 761.28
noise-8 300 -384.36
noise-3 -5 -4266.34
noise-8 316 -384.36
noise-5 -292 -2768.22
noise-9 310 6213.90
noise-4 -367 -8968.97
noise-8 343 -384.36
noise-9 268 5814.00
noise-6 49 761.28
noise-10 -64 2337.86
noise-7 0 1930.03
noise-6 65 761.28
mm -145 2814.67
mm -161 2746.52
mm -177 2670.85
noise-2 16 -1250.15
noise-2 32 -1242.63
noise-2 48 -1227.59
noise-9 332 6009.64
noise-3 -69 -4263.54
noise-4 -363 -9468.09
noise-10 -68 2158.66
noise-4 -355 -9468.09
noise-1 -16 1785.42
noise-7 -12 1930.03
noise-4 -343 -9468.09
noise-8 355 -826.83
noise-5 -304 -2391.54
noise-6 69 819.78
noise-10 -72 2287.86
noise-4 -393 -8816.39
noise-6 119 819.78
mm -169 2159.32
noise-5 -312 -1777.46
noise-9 264 5096.64
mm -101 2159.32
noise-7 7 1931.71
mm -120 1832.08
noise-2 0 -917.51
noise-7 55 1934.02
noise-7 107 1934.02
noise-7 115 1934.02
noise-3 -121 -4320.12
noise-1 -24 1782.38
noise-8 248 -748.73
mm -13 1952.08
mm 31 1968.07
noise-3 -165 -4010.36
noise-8 160 -2807.13
noise-9 352 3496.80
noise-2 -36 -917.51
noise-6 114 245.01
noise-7 80 1072.67
noise-9 388 3623.52
noise-9 423 4314.16
noise-9 428 4555.27
noise-1 22 1948.46
noise-6 68 245.01
noise-1 26 1959.46
noise-10 -76 2599.62
noise-4 -385 -7456.61
noise-5 -320 -1159.70
noise-4 -358 -8992.76
noise-4 -331 -9171.76
mm 4 1999.07
mm -23 2001.07
noise-4 -243 -9185.00
noise-9 340 7080.47
noise-4 -228 -9185.00
noise-1 11 2099.86
mm 9 2161.15
noise-3 -197 -3109.46
noise-1 8 2073.79
mm -17 2228.65
mm -43 2220.15
mm -69 2198.65
noise-8 163 -1808.73
noise-8 189 -1340.92
noise-8 215 -1246.42
noise-8 241 -1138.92
noise-8 269 -1059.39
noise-7 52 1736.67
noise-8 292 -1059.39
noise-6 45 770.65
noise-2 -64 -962.51
mm -41 2785.15
mm -66 2746.61
mm -91 2715.59
noise-5 -295 -670.10
mm -116 2672.82
noise-6 28 624.40
noise-5 -270 -808.75
noise-5 -245 -935.65
noise-5 -228 -1842.15
mm -133 2097.46
mm -150 2030.96
mm -167 1955.96
noise-8 309 -1640.47
noise-8 326 -1485.97
noise-8 343 -1322.97
noise-9 368 4567.87
noise-7 32 1299.87
noise-3 -225 -3032.63
noise-2 -88 -1048.91
noise-9 388 4869.63
noise-9 412 5226.59
noise-9 444 5593.27
noise-9 456 6010.63
noise-6 -4 530.88
noise-1 -4 2062.19
noise-5 -252 -1746.39
noise-10 -52 2329.06
noise-4 -301 -8874.92
noise-10 21 2304.10
noise-2 -108 -911.63
noise-4 -361 -9064.55
noise-9 463 6402.79
noise-9 487 6402.79
noise-8 236 -4296.78
noise-7 16 1486.75
noise-3 -245 -4531.13
noise-10 41 2317.33
noise-10 101 2317.33
noise-10 117 2317.33
noise-10 130 2317.33
noise-6 -28 523.68
noise-1 103 2078.23
noise-1 123 2142.09
noise-5 -265 -2026.11
noise-5 -272 -1435.16
noise-4 -349 -7620.55
noise-4 -337 -7788.07
noise-4 -325 -7949.83
noise-4 -241 -9886.83
noise-8 152 -1932.06
mm -179 2886.15
mm -191 2800.23
mm -203 2708.55
noise-1 165 3354.87
noise-10 88 2756.73
noise-7 0 1540.83
noise-1 181 3354.87
noise-1 197 3354.87
noise-3 -261 -5359.23
noise-4 -235 -9886.83
noise-1 290 3354.87
noise-9 394 9134.86
noise-9 388 8953.62
noise-4 -215 -9886.83
noise-6 -48 379.48
noise-2 -117 -1926.83
noise-4 -206 -9886.83
noise-2 -87 -1319.60
noise-2 -71 -1393.55
noise-2 -63 -1500.76
noise-2 -55 -1532.26
mm -211 2073.16
mm -219 1967.66
mm -227 1858.16
noise-2 -47 -1559.76
noise-5 -288 -1655.48
noise-2 33 -1577.62
noise-9 308 8391.02
mm -211 1744.66
noise-3 -277 -4892.04
noise-4 -285 -9612.85
mm -132 1744.66
noise-7 16 1540.83
noise-6 -64 438.52
noise-2 69 -1577.62
noise-10 52 2588.65
noise-2 74 -1577.62
noise-1 285 2800.97
noise-8 122 -2766.54
noise-4 -315 -9715.45
noise-4 -349 -9602.05
mm -98 1744.66
mm -86 1744.66
noise-6 -76 444.92
mm -74 1744.66
noise-5 -300 -2522.36
mm -10 1744.66
noise-9 244 8427.98
mm 52 1744.66
noise-8 60 -2259.02
noise-2 24 -1568.74
mm 102 1744.66
mm 114 1744.66
noise-3 -289 -4892.04
mm 142 1400.38
noise-10 24 2437.85
mm 99 1539.54
mm 56 1588.05
mm 13 1615.49
noise-1 328 2253.77
noise-1 371 2414.49
noise-1 414 2596.28
noise-1 419 3308.36
mm 21 1590.01
noise-3 -297 -4019.26
noise-9 274 7930.22
noise-9 304 8064.48
noise-9 334 8213.44
mm -9 1610.59
mm -39 1606.18
mm -69 1587.07
noise-2 49 -1552.90
noise-2 65 -1456.86
noise-2 73 -1456.86
noise-2 121 -1456.86
noise-4 -397 -10516.43
noise-8 12 -2128.82
noise-7 0 1581.15
noise-10 36 2573.69
noise-6 -88 244.28
noise-1 467 3941.05
noise-5 -308 -3308.36
noise-9 364 8073.16
mm -91 1591.90
noise-9 386 8200.56
noise-9 408 8393.56
noise-9 430 8597.56
mm -113 1546.40
mm -135 1489.90
noise-4 -437 -10659.35
noise-9 470 9934.86
noise-6 -93 214.36
noise-6 -96 657.04
noise-9 475 9934.86
noise-2 60 -1593.59
mm -74 1271.20
mm -50 1271.20
noise-10 12 2532.29
noise-8 -28 -2124.74
noise-1 507 4099.83
noise-7 -12 1581.15
noise-1 519 4099.83
noise-3 -305 -4809.28
noise-5 -300 -2390.52
mm -46 1271.20
noise-3 -309 -5373.53
noise-2 12 -1593.59
mm -38 1271.20
mm 10 1271.20
noise-6 -104 343.12
noise-9 448 7673.86
noise-9 380 6495.62
mm 78 1212.20
mm 98 1212.20
noise-10 -8 2461.49
noise-7 -20 1656.27
noise-1 527 850.89
noise-5 -308 -1967.52
noise-8 -20 -2004.90
noise-8 10 -2080.30
mm 68 1840.38
mm 38 1875.06
mm 8 1894.44
noise-8 40 -2075.20
noise-8 70 -2054.80
noise-8 102 -2032.40
noise-4 -469 -10816.67
noise-2 -28 -1582.67
noise-4 -493 -6844.24
noise-9 410 6678.02
noise-9 440 6874.82
noise-9 470 7086.02
noise-9 478 10126.92
noise-9 494 10126.92
noise-9 511 10126.92
noise-8 200 -2128.28
noise-8 240 -2128.28
